RBP name	GeneID	Essential Genes	Splicing regulation	Spliceosome	RNA modification	3' end processing	rRNA processing	Ribosome & basic translation	RNA stability & decay	microRNA processing	RNA localization	RNA export	Translation regulation	tRNA regulation	mitochondrial RNA regulation	Viral RNA regulation	snoRNA / snRNA / telomerase	P-body / stress granules	Exon Junction Complex
SF3A3	ENSG00000183431	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF3B1	ENSG00000115524	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF3B4	ENSG00000143368	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFPQ	ENSG00000116560	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLBP	ENSG00000163950	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
SLC4A1AP	ENSG00000163798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLTM	ENSG00000137776	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMN1	ENSG00000172062	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SMNDC1	ENSG00000119953	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SND1	ENSG00000197157	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0
SNRNP200	ENSG00000144028	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNRNP70	ENSG00000104852	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNRPA	ENSG00000077312	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SRFBP1	ENSG00000151304	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRP68	ENSG00000167881	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRPK2	ENSG00000135250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRSF1	ENSG00000136450	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SRSF10	ENSG00000188529	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SRSF11	ENSG00000116754	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRSF2	ENSG00000161547	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
SRSF3	ENSG00000112081	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0
SRSF4	ENSG00000116350	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SRSF5	ENSG00000100650	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SRSF7	ENSG00000115875	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
SRSF8	ENSG00000271885	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRSF9	ENSG00000111786	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSB	ENSG00000138385	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
SSRP1	ENSG00000149136	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAU1	ENSG00000124214	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0
STIP1	ENSG00000168439	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUB1	ENSG00000113387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCLG1	ENSG00000163541	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUGP2	ENSG00000064607	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUPT6H	ENSG00000109111	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SUPV3L1	ENSG00000156502	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
SYNCRIP	ENSG00000135316	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0
TAF15	ENSG00000270647	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
TARDBP	ENSG00000120948	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0
TBRG4	ENSG00000136270	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TFIP11	ENSG00000100109	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIA1	ENSG00000116001	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0
TIAL1	ENSG00000151923	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
TNRC6A	ENSG00000090905	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
TOE1	ENSG00000132773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TRA2A	ENSG00000164548	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM56	ENSG00000169871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TRIP6	ENSG00000087077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAU1AP	ENSG00000180098	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TROVE2	ENSG00000116747	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TUFM	ENSG00000178952	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
U2AF1	ENSG00000160201	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U2AF2	ENSG00000063244	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
UBAP2L	ENSG00000143569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2L3	ENSG00000185651	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UCHL5	ENSG00000116750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNK	ENSG00000132478	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
UPF1	ENSG00000005007	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
UPF2	ENSG00000151461	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
UTP18	ENSG00000011260	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
UTP3	ENSG00000132467	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR3	ENSG00000065183	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
WDR43	ENSG00000163811	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
WRN	ENSG00000165392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XPO1	ENSG00000082898	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0
XPO5	ENSG00000124571	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0
XRCC5	ENSG00000079246	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XRCC6	ENSG00000196419	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XRN1	ENSG00000114127	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
XRN2	ENSG00000088930	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
YBX3	ENSG00000060138	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
YTHDC2	ENSG00000047188	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YWHAG	ENSG00000170027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZC3H11A	ENSG00000058673	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ZC3H8	ENSG00000144161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZCRB1	ENSG00000139168	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ZFC3H1	ENSG00000133858	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFP36	ENSG00000128016	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ZNF106	ENSG00000103994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF326	ENSG00000162664	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF622	ENSG00000173545	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ZRANB2	ENSG00000132485	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAFB	ENSG00000160633	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGO2	ENSG00000123908	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NIPBL	ENSG00000164190	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF800	ENSG00000048405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDAD1	ENSG00000198301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAU2	ENSG00000040341	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
